,Poste,Nationalité,Date de naissance,Âge,Taille,Poids,Club actuel,Dernière saison,Poste simplifié,IMC,Poste prédit
Rasmus Nielsen,Ailier Droit,Danemark,07/02/1989,35.0,189.0,83.0,Dunkerque,2023 / 2024,Ailier,23.23563170124017,Arrière
Lucien Auffret,Ailier Droit,France,25/01/1997,27.0,182.0,75.0,Dijon,,Ailier,22.6421929718633,Ailier
Karl Konan,Arrière Gauche,Côte d’Ivoire,03/06/1995,29.0,196.0,95.0,Montpellier,,Arrière,24.7292794668888,Arrière
Nikoloz Kalandadze,Arrière Gauche,Géorgie,27/07/2002,22.0,198.0,96.0,Chambéry,,Arrière,24.487297214569946,Pivot
Thibault Dessites,Ailier Droit,France,17/05/2005,19.0,187.0,77.0,Saint-Raphaël,,Ailier,22.019502988361115,Ailier
Bakary Diallo,Arrière Gauche,France,03/12/1994,30.0,195.0,96.0,Toulouse,,Arrière,25.2465483234714,Arrière
Adama Keita,Ailier Gauche,France,05/06/1997,27.0,186.0,84.0,Paris,2023 / 2024,Ailier,24.280263614290668,Ailier
Rémi Leventoux,Pivot,France,12/02/1992,32.0,202.0,110.0,Créteil,,Pivot,26.958141358690323,Pivot
Baptiste Briet,Arrière Gauche,France,23/06/2002,22.0,185.0,82.0,Pontault,,Arrière,23.959094229364496,Ailier
Keyliane Traoré,Arrière Gauche,France,05/07/2004,20.0,194.0,84.0,Créteil,,Arrière,22.31905622276544,Ailier
Adam El Bishry,Demi Centre,Égypte,28/07/2003,21.0,185.0,78.0,Créteil,,Demi Centre,22.79035792549306,Ailier
Janek Klimkow,Pivot,Pologne,21/12/1998,26.0,203.0,130.0,Dunkerque,2023 / 2024,Pivot,31.546506831032065,Arrière
Janos Tamas Stranigg,Arrière Gauche,Hongrie,02/02/1995,29.0,190.0,95.0,Créteil,,Arrière,26.31578947368421,Arrière
Noa Tremey,Demi Centre,France,07/04/2003,21.0,190.0,80.0,Pontault,,Demi Centre,22.1606648199446,Arrière
Jon Azkue,Demi Centre,Espagne,03/07/1994,30.0,184.0,87.0,Limoges,,Demi Centre,25.697069943289225,Ailier
Wallem Peleka,Arrière Gauche,France,18/01/2002,22.0,196.0,93.0,Paris,,Arrière,24.20866305705956,Arrière
Aleksandar Antic,Ailier Droit,France,31/08/2004,20.0,183.0,78.0,Besançon,,Ailier,23.291229956104985,Ailier
Marc-anto Aillaud,Arrière Droit,France,23/06/2003,21.0,193.0,88.0,Sarrebourg,,Arrière,23.624795296518027,Arrière
Iñaki Peciña,Pivot,Espagne,31/05/1988,36.0,200.0,104.0,Chambéry,,Pivot,26.0,Arrière
Yohan Guigues,Ailier Droit,France,13/04/2004,20.0,186.0,74.0,Nîmes,,Ailier,21.389756041160823,Ailier
Umberto Bronzo,Ailier Droit,Italie,29/12/2000,23.0,183.0,84.0,Dunkerque,2023 / 2024,Ailier,25.082863029651524,Ailier
Lou Derisbourg,Demi Centre,France,18/02/2002,22.0,184.0,86.0,Nîmes,,Demi Centre,25.401701323251416,Ailier
Wilson Davyes,Demi Centre,Portugal,07/09/1988,36.0,192.0,95.0,Chartres,2023 / 2024,Demi Centre,25.77039930555556,Arrière
Naël Tighiouart,Ailier Gauche,France,13/03/2004,20.0,184.0,80.0,Chartres,,Ailier,23.62948960302457,Ailier
Kornél Nagy,Arrière Gauche,Hongrie,21/11/1986,38.0,195.0,98.0,Dunkerque,2023 / 2024,Arrière,25.77251808021039,Arrière
Gauthier Bonnissol,Demi Centre,France,27/08/2003,21.0,190.0,83.0,Besançon,,Demi Centre,22.99168975069252,Arrière
Axel Lanfranchi,Pivot,France,15/05/2004,20.0,192.0,101.0,Dijon,,Pivot,27.39800347222222,Pivot
Jérémy Robert,Arrière Gauche,France,08/03/2004,20.0,193.0,98.0,Toulouse,,Arrière,26.309431125667803,Arrière
Mathieu Cornette,Demi Centre,France,30/06/2003,21.0,188.0,80.0,Cournon,,Demi Centre,22.634676324128566,Ailier
Jordan Camarero,Ailier Droit,France,10/03/1992,32.0,184.0,87.0,Aix,2023 / 2024,Ailier,25.697069943289225,Ailier
Remi Peyre,Ailier Droit,France,30/01/2004,20.0,175.0,78.0,Nîmes,,Ailier,25.46938775510204,Ailier
Ernest Pineau-rossi,Arrière Droit,France,30/01/2003,21.0,200.0,98.0,Nancy,,Arrière,24.5,Arrière
Noé Lafougere,Ailier Gauche,France,13/07/2002,22.0,183.0,73.0,Saran,2023 / 2024,Ailier,21.798202394816204,Ailier
Reyhan Zuzo,Demi Centre,France,26/06/2005,19.0,188.0,84.0,Caen,,Demi Centre,23.766410140334997,Ailier
Henri Kirtz,Arrière Droit,France,27/05/2004,20.0,198.0,94.0,Ivry,,Arrière,23.9771451892664,Pivot
Sabi Sarre,Ailier Droit,France,01/02/2004,20.0,188.0,73.0,Créteil,2023 / 2024,Ailier,20.65414214576732,Ailier
Alban Simonnet,Demi Centre,France,04/01/2004,20.0,190.0,88.0,Saran,,Demi Centre,24.37673130193906,Arrière
Amaury Perrin,Ailier Gauche,France,21/10/2002,22.0,183.0,68.0,Chambéry,2023 / 2024,Ailier,20.305174833527424,Ailier
Maxime Gilbert,Demi Centre,France,22/05/1991,33.0,187.0,90.0,Toulouse,,Demi Centre,25.737081414967538,Ailier
Alexandre Tritta,Arrière Droit,France,09/12/1994,30.0,187.0,97.0,Aix,,Arrière,27.738854413909458,Arrière
Yoro Diarra,Pivot,France,29/12/2003,20.0,197.0,100.0,Saran,,Pivot,25.76721894405937,Arrière
Pierre-alexis Favril,Ailier Gauche,France,15/10/2004,20.0,186.0,84.0,Nantes,,Ailier,24.280263614290668,Ailier
Ilija Abutovic,Arrière Gauche,Serbie,02/08/1988,36.0,202.0,105.0,Chartres,2023 / 2024,Arrière,25.732771296931677,Arrière
Mathis Goupillon,Demi Centre,France,20/11/2003,21.0,179.0,73.0,Saint-Raphaël,,Demi Centre,22.783308885490467,Ailier
Lucas Ferrandier,Ailier Gauche,France,12/04/1996,28.0,189.0,82.0,Créteil,,Ailier,22.955684331345708,Ailier
Timeo Albouy,Ailier Gauche,France,01/11/2003,21.0,184.0,79.0,Toulouse,,Ailier,23.334120982986768,Ailier
Paul Gourdel,Arrière Droit,France,14/04/2004,20.0,187.0,65.0,Aix,,Arrière,18.58789213303211,Arrière
Yanis Busselier,Arrière Droit,France,01/08/2002,22.0,191.0,90.0,Cherbourg,,Arrière,24.67037636029714,Arrière
Salomon Nassequela,Arrière Droit,Congo,15/01/2004,20.0,183.0,71.0,Nantes,,Arrière,21.20099137030069,Ailier
Mouhamadou Sidibe,Pivot,France,09/10/2004,20.0,200.0,90.0,Aix,,Pivot,22.5,Arrière
Leni Serre,Arrière Droit,France,08/09/2005,19.0,185.0,81.0,Limoges,,Arrière,23.66691015339664,Ailier
Quentin Ducoat,Arrière Droit,France,09/04/2004,20.0,186.0,100.0,Chartres,2023 / 2024,Arrière,28.90507573129841,Pivot
Lucas Guigon,Arrière Droit,France,18/07/2003,21.0,197.0,83.0,Montpellier,,Arrière,21.386791723569274,Arrière
Nelio Indjai,Ailier Gauche,Portugal,03/06/2002,22.0,181.0,73.0,Dunkerque,2023 / 2024,Ailier,22.28259210646805,Ailier
Raphaël Deleau,Arrière Gauche,France,06/09/2005,19.0,185.0,80.0,Saran,,Arrière,23.37472607742878,Ailier
Baptiste Bonnefond,Arrière Gauche,France,22/01/1993,31.0,193.0,97.0,Nantes,,Arrière,26.040967542752828,Arrière
Lucas Berchoux,Demi Centre,France,20/02/2003,21.0,186.0,85.0,Aix,,Demi Centre,24.56931437160365,Ailier
Augustin Riehl,Arrière Droit,France,03/07/2004,20.0,192.0,89.0,Dunkerque,2023 / 2024,Arrière,24.14279513888889,Arrière
Antoine Baladi,Pivot,France,18/01/2004,20.0,187.0,96.0,Ivry,,Pivot,27.45288684263204,Arrière
Victor Grillère,Pivot,France,05/03/2003,21.0,195.0,85.0,Chartres,2023 / 2024,Pivot,22.35371466140697,Arrière
Théo Texier,Demi Centre,France,22/11/2003,21.0,181.0,75.0,Saran,2023 / 2024,Demi Centre,22.89307408198773,Ailier
Luca Faivre,Ailier Gauche,France,23/08/2004,20.0,175.0,69.0,Dijon,2023 / 2024,Ailier,22.53061224489796,Ailier
Yoann Gibelin,Arrière Gauche,France,26/11/1999,25.0,198.0,99.0,Nîmes,,Arrière,25.252525252525253,Arrière
Emilien Peyronnet,Ailier Droit,France,22/04/2004,20.0,180.0,70.0,Chambéry,,Ailier,21.604938271604937,Ailier
Mathias Comte,Arrière Gauche,France,19/06/2005,19.0,197.0,100.0,Limoges,,Arrière,25.76721894405937,Arrière
Adrien Dubois,Ailier Gauche,France,21/03/2001,23.0,182.0,72.0,Nancy,,Ailier,21.736505252988767,Ailier
Ylan Augustine,Pivot,France,18/08/2004,20.0,198.0,98.0,Saint-Raphaël,,Pivot,24.99744923987348,Arrière
Gallian Varlet,Arrière Gauche,France,16/06/2004,20.0,193.0,82.0,Nîmes,,Arrière,22.014013799028163,Ailier
Antoine-xavier Armani,Pivot,France,16/08/2003,21.0,196.0,107.0,Caen,,Pivot,27.852977925864227,Pivot
Alexandre Birkner,Ailier Gauche,France,19/02/2004,20.0,174.0,79.0,Limoges,,Ailier,26.09327520147972,Ailier
Enzo Gesland,Ailier Droit,France,07/03/2004,20.0,183.0,75.0,Cherbourg,,Ailier,22.39541341933172,Ailier
Théo Benterki,Ailier Droit,France,20/06/2003,21.0,185.0,80.0,Cournon,,Ailier,23.37472607742878,Ailier
Tom Semba,Pivot,France,15/10/2004,20.0,189.0,81.0,Chartres,2023 / 2024,Pivot,22.67573696145125,Ailier
Raphaël Neel Heude,Ailier Gauche,France,23/08/2003,21.0,184.0,85.0,Nancy,,Ailier,25.10633270321361,Ailier
Maixent Eveillard,Demi Centre,France,01/02/2005,19.0,173.0,69.0,Saint-Raphaël,,Demi Centre,23.054562464499316,Ailier
Guillaume Sutter,Ailier Gauche,France,16/01/2005,19.0,188.0,75.0,Saint-Raphaël,,Ailier,21.22000905387053,Ailier
Léo Fournie,Pivot,France,10/04/2004,20.0,188.0,90.0,Montpellier,,Pivot,25.46401086464464,Demi Centre
Matéo Caille,Pivot,France,27/06/2004,20.0,198.0,96.0,Montpellier,,Pivot,24.487297214569946,Arrière
Edgar Bourillon,Pivot,France,01/04/2004,20.0,200.0,95.0,Pontault,,Pivot,23.75,Arrière
Doran Engueleguele,Arrière Gauche,France,10/05/2003,21.0,193.0,97.0,Cournon,,Arrière,26.040967542752828,Arrière
Sasha Frattaruolo,Pivot,France,19/05/2005,19.0,188.0,88.0,Chambéry,,Pivot,24.898143956541425,Demi Centre
Mathis Sebin,Arrière Gauche,France,23/10/2004,20.0,190.0,81.0,Créteil,,Arrière,22.437673130193907,Ailier
Mike Benjamin,Arrière Gauche,France,05/12/2003,21.0,198.0,98.0,Cesson-Rennes,2023 / 2024,Arrière,24.99744923987348,Arrière
Gabin Miny,Pivot,France,13/07/2005,19.0,190.0,95.0,Dijon,2023 / 2024,Pivot,26.31578947368421,Arrière
Adam Gnago,Arrière Gauche,France,03/01/2003,21.0,193.0,90.0,Caen,,Arrière,24.161722462347985,Arrière
Koussay Ben Fraj,Arrière Gauche,Tunisie,02/09/2004,20.0,194.0,90.0,Chartres,,Arrière,23.91327452439154,Arrière
Yanis Abdebreiman,Arrière Gauche,France,02/08/2005,19.0,186.0,78.0,Chambéry,,Arrière,22.54595907041276,Ailier
Lazar Maksovic,Arrière Gauche,France,24/11/2004,20.0,195.0,89.0,Saint-Raphaël,,Arrière,23.405654174884944,Arrière
Amine Ben Salem,Demi Centre,France,11/03/2003,21.0,190.0,85.0,Chartres,,Demi Centre,23.545706371191137,Arrière
Tom Delrives,Ailier Droit,France,22/07/2002,22.0,188.0,78.0,Frontignan,,Ailier,22.068809416025356,Ailier
Marko Milosavljevic,Arrière Gauche,Serbie,13/09/1998,26.0,201.0,96.0,Nantes,,Arrière,23.761788074552616,Arrière
Kenzo Guironnet,Pivot,France,17/06/2005,19.0,195.0,98.0,Nîmes,,Pivot,25.77251808021039,Arrière
Ronan Hassler,Ailier Droit,France,14/05/2004,20.0,185.0,71.0,Limoges,,Ailier,20.74506939371804,Ailier
Amil Maliki,Arrière Gauche,France,05/05/2005,19.0,194.0,92.0,Dunkerque,,Arrière,24.44468062493357,Arrière
Edgar Gohier,Ailier Droit,France,29/06/2005,19.0,183.0,77.0,Nantes,,Ailier,22.99262444384723,Ailier
Clément Pellen,Arrière Gauche,France,21/04/2002,22.0,202.0,89.0,Ivry,,Arrière,21.81158709930399,Pivot
Edynio Linere,Arrière Gauche,France,21/08/2003,21.0,191.0,84.0,Massy,,Arrière,23.025684602944,Arrière
Andre Wenkegheu Tchambou,Pivot,France,10/05/2004,20.0,197.0,95.0,Nantes,,Pivot,24.4788579968564,Arrière
Goran Levavasseur,Ailier Gauche,France,03/12/2003,21.0,184.0,70.0,Valence,,Ailier,20.6758034026465,Ailier
Lucien Roullet,Demi Centre,France,14/05/2004,20.0,193.0,84.0,Limoges,,Demi Centre,22.55094096485812,Ailier
Dimitri Claude,Arrière Gauche,France,29/08/2005,19.0,192.0,80.0,Chambéry,,Arrière,21.70138888888889,Demi Centre
